from_id,to_id,method,distance_km,time_min,cost_baht
6,42,driving-car,42.5,34.8,1003.26
6,43,driving-car,41.91,35.4,1335.78
6,44,driving-car,5.18,7.1,293.25
6,45,driving-car,8.65,9.8,656.22
7,1,driving-car,80.72,53.4,1575.7
7,2,driving-car,56.56,46.0,1235.95
7,3,driving-car,71.25,57.2,1327.06
7,4,driving-car,45.61,35.5,1108.43
7,5,driving-car,97.29,68.0,1283.59
7,6,driving-car,37.79,28.0,675.05
7,8,driving-car,60.04,44.5,1327.29
7,9,driving-car,14.36,18.9,958.12
7,10,driving-car,28.17,27.2,1114.23
7,11,driving-car,7.92,9.7,1006.9
7,12,driving-car,64.6,47.6,1100.11
7,13,driving-car,74.14,56.8,1177.12
7,14,driving-car,86.46,59.8,1564.8
7,15,driving-car,78.07,61.7,1346.1
7,16,driving-car,73.59,54.6,1352.58
7,17,driving-car,80.78,56.1,1502.9
7,18,driving-car,80.04,64.0,1579.92
7,19,driving-car,80.12,53.0,1083.96
7,20,driving-car,26.69,29.9,660.04
7,21,driving-car,74.22,55.6,811.06
7,22,driving-car,75.9,57.9,1262.05
7,23,driving-car,80.07,52.8,811.58
7,24,driving-car,24.47,23.7,723.3
7,25,driving-car,81.88,57.7,1286.62
7,26,driving-car,81.91,55.6,1056.44
7,27,driving-car,79.26,53.6,1303.59
7,28,driving-car,79.5,52.3,801.45
7,29,driving-car,85.66,59.4,871.54
7,30,driving-car,85.17,58.2,1573.12
7,31,driving-car,83.09,56.4,1135.12
7,32,driving-car,82.44,53.1,918.47
7,33,driving-car,85.66,59.4,1307.95
7,34,driving-car,90.26,63.3,1579.22
7,35,driving-car,89.93,62.2,1077.01
7,36,driving-car,73.17,56.2,1277.63
7,37,driving-car,75.09,58.1,811.12
7,38,driving-car,81.26,54.4,838.24
7,39,driving-car,38.98,31.0,898.56
7,40,driving-car,38.85,30.8,905.87
7,41,driving-car,30.48,28.9,926.03
7,42,driving-car,75.15,58.3,1388.33
7,43,driving-car,65.81,52.1,1529.06
7,44,driving-car,31.71,30.6,826.85
7,45,driving-car,28.34,28.9,625.88
8,1,driving-car,29.49,26.5,1060.09
8,2,driving-car,15.66,17.1,481.87
8,3,driving-car,13.18,15.8,615.83
8,4,driving-car,20.14,17.9,340.23
8,5,driving-car,47.02,45.4,510.99
8,6,driving-car,30.93,24.2,1222.32
8,7,driving-car,57.95,46.4,1333.46
8,9,driving-car,45.67,34.7,1103.07
8,10,driving-car,33.52,26.5,744.72
8,11,driving-car,61.41,44.4,767.15
8,12,driving-car,6.54,6.2,316.8
8,13,driving-car,16.08,15.4,466.28
8,14,driving-car,21.6,22.7,775.6
8,15,driving-car,20.01,20.4,911.72
8,16,driving-car,15.52,13.2,831.32
8,17,driving-car,26.53,26.0,572.68
8,18,driving-car,21.98,22.7,1143.72
8,19,driving-car,23.3,21.0,959.01
8,20,driving-car,39.19,34.2,920.94
8,21,driving-car,16.15,14.2,792.1
8,22,driving-car,17.83,16.5,630.95
8,23,driving-car,23.24,20.8,517.38
8,24,driving-car,38.46,29.3,736.56
8,25,driving-car,27.64,27.7,1011.68
8,26,driving-car,27.16,26.7,338.73
8,27,driving-car,23.47,23.8,400.73
8,28,driving-car,22.67,20.4,331.26
8,29,driving-car,30.91,30.6,392.44
8,30,driving-car,24.59,23.7,1075.13
8,31,driving-car,28.33,27.6,968.43
8,32,driving-car,34.02,29.5,807.42
8,33,driving-car,30.91,30.6,443.83
8,34,driving-car,39.03,36.4,863.19
8,35,driving-car,38.71,35.3,844.3
8,36,driving-car,15.11,14.8,390.15
8,37,driving-car,17.03,16.8,638.18
8,38,driving-car,22.76,21.3,649.23
8,39,driving-car,31.95,27.3,918.37
8,40,driving-car,32.17,27.2,937.44
8,41,driving-car,32.14,26.0,406.39
8,42,driving-car,17.09,17.0,585.28
8,43,driving-car,17.45,21.2,813.92
8,44,driving-car,32.6,27.5,822.12
8,45,driving-car,36.07,30.2,1167.9
9,1,driving-car,73.26,48.2,1310.66
9,2,driving-car,40.3,34.1,577.69
9,3,driving-car,54.98,45.3,619.34
9,4,driving-car,29.35,23.6,921.48
9,5,driving-car,89.83,62.8,905.57
9,6,driving-car,17.63,13.8,779.11
9,7,driving-car,13.57,13.7,1069.7
9,8,driving-car,46.13,35.5,998.54
9,10,driving-car,14.51,12.0,579.42
9,11,driving-car,21.5,19.8,859.46
9,12,driving-car,48.34,35.7,911.82
9,13,driving-car,57.88,44.9,1071.54
9,14,driving-car,63.39,52.2,1476.33
9,15,driving-car,61.81,49.8,962.28
9,16,driving-car,57.32,42.7,1440.79
9,17,driving-car,73.32,50.9,1533.2
9,18,driving-car,63.78,52.2,808.73
9,19,driving-car,72.67,47.8,774.96
