from_id,to_id,method,distance_km,time_min,cost_baht
14,30,motorbike,1.47,1.8,43.05
14,31,motorbike,14.44,13.0,129.58
14,32,motorbike,20.13,14.5,169.54
14,33,motorbike,17.02,15.4,147.64
14,34,motorbike,25.14,20.1,209.62
14,35,motorbike,24.82,19.2,207.06
14,36,motorbike,12.36,13.8,115.02
14,37,motorbike,6.22,8.7,73.93
14,38,motorbike,5.28,5.4,67.82
14,39,motorbike,49.28,35.5,407.38
14,40,motorbike,49.5,35.4,409.25
14,41,motorbike,49.47,34.4,409.0
14,42,motorbike,6.29,9.0,74.38
14,43,motorbike,31.93,30.4,263.94
14,44,motorbike,49.94,35.7,412.99
14,45,motorbike,53.41,37.8,442.48
15,1,motorbike,17.29,14.9,149.53
15,2,motorbike,31.39,25.4,259.62
15,3,motorbike,14.34,16.0,128.88
15,4,motorbike,35.86,26.0,295.38
15,5,motorbike,34.82,30.0,287.06
15,6,motorbike,46.66,31.1,385.11
15,7,motorbike,73.68,48.9,621.62
15,8,motorbike,20.03,16.4,168.74
15,9,motorbike,61.4,39.5,511.1
15,10,motorbike,49.25,32.9,407.12
15,11,motorbike,79.81,49.3,676.79
15,12,motorbike,13.61,11.7,123.77
15,13,motorbike,6.62,8.2,76.53
15,14,motorbike,5.44,6.2,68.86
15,16,motorbike,5.04,7.1,66.26
15,17,motorbike,14.33,14.5,128.81
15,18,motorbike,3.08,5.5,53.52
15,19,motorbike,11.1,10.5,106.2
15,20,motorbike,54.92,39.1,455.32
15,21,motorbike,4.27,5.9,61.25
15,22,motorbike,3.22,4.8,54.43
15,23,motorbike,11.04,10.3,105.78
15,24,motorbike,54.18,35.2,449.03
15,25,motorbike,15.44,15.8,136.58
15,26,motorbike,14.96,15.1,133.22
15,27,motorbike,11.27,12.8,107.39
15,28,motorbike,10.47,10.0,101.79
15,29,motorbike,18.71,18.1,159.47
15,30,motorbike,6.61,7.0,76.47
15,31,motorbike,16.13,15.7,141.41
15,32,motorbike,21.82,17.3,183.06
15,33,motorbike,18.71,18.1,159.47
15,34,motorbike,26.83,22.8,223.14
15,35,motorbike,26.51,22.0,220.58
15,36,motorbike,11.43,12.5,108.51
15,37,motorbike,6.13,8.7,73.34
15,38,motorbike,10.41,10.6,101.37
15,39,motorbike,47.67,33.6,393.7
15,40,motorbike,47.89,33.5,395.56
15,41,motorbike,47.86,32.5,395.31
15,42,motorbike,6.2,8.9,73.8
15,43,motorbike,31.84,30.3,263.22
15,44,motorbike,48.33,33.7,399.3
15,45,motorbike,51.8,35.9,428.8
16,1,motorbike,14.16,11.3,127.62
