from_id,to_id,method,distance_km,time_min,cost_baht
12,38,driving-car,16.91,16.8,146.87
12,39,driving-car,34.12,27.5,281.46
12,40,driving-car,34.34,27.5,283.22
12,41,driving-car,34.32,26.2,283.06
12,42,driving-car,11.24,12.5,107.18
12,43,driving-car,23.05,25.5,192.9
12,44,driving-car,34.78,27.8,286.74
12,45,driving-car,38.25,30.5,314.5
13,1,driving-car,15.62,15.5,137.84
13,2,driving-car,28.22,25.9,234.26
13,3,driving-car,6.53,14.0,75.94
13,4,driving-car,32.7,26.7,270.1
13,5,driving-car,32.72,32.3,270.26
13,6,driving-car,43.5,33.0,358.25
13,7,driving-car,70.51,55.2,593.09
13,8,driving-car,16.87,14.6,146.59
13,9,driving-car,58.23,43.5,483.45
13,10,driving-car,46.09,35.3,380.27
13,11,driving-car,76.64,55.8,648.26
13,12,driving-car,10.45,8.8,101.65
13,14,driving-car,7.74,11.8,83.81
13,15,driving-car,6.82,10.5,77.83
13,16,driving-car,1.93,3.8,46.05
13,17,driving-car,12.66,15.0,117.12
13,18,driving-car,8.79,12.8,90.63
13,19,driving-car,9.42,10.0,94.73
13,20,driving-car,51.76,43.0,428.46
13,21,driving-car,3.89,5.5,58.78
13,22,driving-car,3.98,5.6,59.37
13,23,driving-car,9.37,9.8,94.41
13,24,driving-car,51.02,38.0,422.17
13,25,driving-car,13.76,16.7,124.82
13,26,driving-car,13.28,15.7,121.46
13,27,driving-car,9.59,12.8,95.84
13,28,driving-car,8.8,9.4,90.7
13,29,driving-car,17.04,19.6,147.78
13,30,driving-car,10.72,12.7,103.54
13,31,driving-car,14.46,16.6,129.72
13,32,driving-car,17.87,17.4,153.59
13,33,driving-car,17.04,19.6,147.78
13,34,driving-car,25.16,25.4,209.78
13,35,driving-car,24.83,24.3,207.14
13,36,driving-car,4.86,5.6,65.09
13,37,driving-car,2.32,3.4,48.58
13,38,driving-car,8.89,10.3,91.28
13,39,driving-car,44.51,36.0,366.83
13,40,driving-car,44.73,36.0,368.7
13,41,driving-car,44.7,34.7,368.45
13,42,driving-car,2.38,3.6,48.97
13,43,driving-car,26.7,28.4,222.1
13,44,driving-car,45.17,36.3,372.44
13,45,driving-car,48.64,39.0,401.94
14,1,driving-car,15.6,15.2,137.7
14,2,driving-car,32.99,34.2,272.42
14,3,driving-car,15.94,22.5,140.08
14,4,driving-car,37.47,35.0,308.26
14,5,driving-car,33.13,34.1,273.54
14,6,driving-car,48.27,41.3,398.8
14,7,driving-car,75.28,63.5,636.02
14,8,driving-car,21.64,22.9,181.62
14,9,driving-car,63.0,51.8,525.5
14,10,driving-car,50.86,43.6,420.81
14,11,driving-car,89.22,62.2,775.31
14,12,driving-car,15.22,17.1,135.04
14,13,driving-car,7.55,11.8,82.57
14,15,driving-car,5.43,7.7,68.8
14,16,driving-car,5.97,10.4,72.31
14,17,driving-car,9.41,13.2,94.66
14,18,driving-car,4.59,7.1,63.34
14,19,driving-car,9.41,9.7,94.66
14,20,driving-car,56.53,51.3,469.0
14,21,driving-car,8.6,10.6,89.4
14,22,driving-car,7.55,9.2,82.57
14,23,driving-car,9.35,9.5,94.28
14,24,driving-car,55.79,46.4,462.72
14,25,driving-car,10.1,13.5,99.2
14,26,driving-car,10.2,15.2,99.9
14,27,driving-car,9.58,12.5,95.77
14,28,driving-car,8.79,9.1,90.63
14,29,driving-car,17.02,19.3,147.64
14,30,driving-car,1.47,2.3,43.05
14,31,driving-car,14.44,16.3,129.58
14,32,driving-car,20.13,18.2,169.54
14,33,driving-car,17.02,19.3,147.64
14,34,driving-car,25.14,25.1,209.62
14,35,driving-car,24.82,24.1,207.06
14,36,driving-car,12.36,17.2,115.02
14,37,driving-car,6.22,10.9,73.93
14,38,driving-car,5.28,6.8,67.82
14,39,driving-car,49.28,44.3,407.38
14,40,driving-car,49.5,44.3,409.25
14,41,driving-car,49.47,43.1,409.0
14,42,driving-car,6.29,11.2,74.38
14,43,driving-car,31.93,38.0,263.94
14,44,driving-car,49.94,44.6,412.99
14,45,driving-car,53.41,47.3,442.48
15,1,driving-car,17.29,18.6,149.53
15,2,driving-car,31.39,31.8,259.62
15,3,driving-car,14.34,20.1,128.88
15,4,driving-car,35.86,32.6,295.38
15,5,driving-car,34.82,37.5,287.06
15,6,driving-car,46.66,38.9,385.11
15,7,driving-car,73.68,61.1,621.62
15,8,driving-car,20.03,20.5,168.74
15,9,driving-car,61.4,49.4,511.1
15,10,driving-car,49.25,41.2,407.12
15,11,driving-car,79.81,61.7,676.79
15,12,driving-car,13.61,14.7,123.77
15,13,driving-car,6.62,10.2,76.53
15,14,driving-car,5.44,7.8,68.86
15,16,driving-car,5.04,8.8,66.26
15,17,driving-car,14.33,18.1,128.81
15,18,driving-car,3.08,6.9,53.52
15,19,driving-car,11.1,13.1,106.2
15,20,driving-car,54.92,48.9,455.32
15,21,driving-car,4.27,7.4,61.25
15,22,driving-car,3.22,6.0,54.43
15,23,driving-car,11.04,12.9,105.78
15,24,driving-car,54.18,43.9,449.03
15,25,driving-car,15.44,19.8,136.58
15,26,driving-car,14.96,18.8,133.22
15,27,driving-car,11.27,15.9,107.39
15,28,driving-car,10.47,12.5,101.79
15,29,driving-car,18.71,22.7,159.47
15,30,driving-car,6.61,8.8,76.47
15,31,driving-car,16.13,19.7,141.41
15,32,driving-car,21.82,21.6,183.06
15,33,driving-car,18.71,22.7,159.47
15,34,driving-car,26.83,28.5,223.14
15,35,driving-car,26.51,27.5,220.58
15,36,driving-car,11.43,15.7,108.51
15,37,driving-car,6.13,10.9,73.34
15,38,driving-car,10.41,13.3,101.37
15,39,driving-car,47.67,41.9,393.7
15,40,driving-car,47.89,41.9,395.56
15,41,driving-car,47.86,40.6,395.31
15,42,driving-car,6.2,11.2,73.8
15,43,driving-car,31.84,37.9,263.22
15,44,driving-car,48.33,42.2,399.3
15,45,driving-car,51.8,44.9,428.8
16,1,driving-car,14.16,14.2,127.62
